name,ra_hours,dec_deg,mag,con
Sirius,6.752481,-16.716116,-1.44,CMa
Canopus,6.399195,-52.69566,-0.62,Car
Arcturus,14.26103,19.18241,-0.05,Boo
Rigil Kentaurus,14.660765,-60.833976,-0.01,Cen
Vega,18.61564,38.783692,0.03,Lyr
Capella,5.27815,45.997991,0.08,Aur
Rigel,5.242298,-8.20164,0.18,Ori
Procyon,7.655033,5.224993,0.4,CMi
Achernar,1.628556,-57.236757,0.45,Eri
Betelgeuse,5.919529,7.407063,0.45,Ori
Hadar,14.063729,-60.373039,0.61,Cen
Altair,19.846388,8.868322,0.76,Aql
Acrux,12.443311,-63.099092,0.77,Cru
Aldebaran,4.598677,16.509301,0.87,Tau
HYG 118360,5.277926,46.000842,0.96,Aur
Spica,13.419883,-11.161322,0.98,Vir
Antares,16.490128,-26.432002,1.06,Sco
Pollux,7.755277,28.026199,1.16,Gem
Fomalhaut,22.960838,-29.622236,1.17,PsA
Mimosa,12.795359,-59.688764,1.25,Cru
Deneb,20.690532,45.280338,1.25,Cyg
Toliman,14.660346,-60.8383,1.35,Cen
Regulus,10.139532,11.967207,1.36,Leo
Adhara,6.977097,-28.972084,1.5,CMa
Castor,7.576634,31.888276,1.58,Gem
Gacrux,12.519429,-57.113212,1.59,Cru
Shaula,17.560145,-37.103821,1.62,Sco
Bellatrix,5.418851,6.349702,1.64,Ori
Elnath,5.438198,28.60745,1.65,Tau
Miaplacidus,9.220041,-69.717208,1.67,Car
Alnilam,5.603559,-1.20192,1.69,Ori
Alnair,22.137209,-46.960975,1.73,Gru
Alnitak,5.679313,-1.942572,1.74,Ori
Gamma-2 Vel,8.158876,-47.336588,1.75,Vel
Alioth,12.900472,55.959821,1.76,UMa
Mirfak,3.405378,49.86118,1.79,Per
Kaus Australis,18.402868,-34.384616,1.79,Sgr
Dubhe,11.062155,61.751033,1.81,UMa
Wezen,7.139857,-26.3932,1.83,CMa
Alkaid,13.792354,49.313265,1.85,UMa
Avior,8.375236,-59.509483,1.86,Car
Sargas,17.62198,-42.997824,1.86,Sco
Menkalinan,5.992149,44.947433,1.9,Aur
Atria,16.811077,-69.027715,1.91,TrA
Alhena,6.628528,16.399252,1.93,Gem
Alsephina,8.745059,-54.708821,1.93,Vel
Peacock,20.427459,-56.73509,1.94,Pav
Polaris,2.52975,89.264109,1.97,UMi
Mirzam,6.378329,-17.955918,1.98,CMa
Alphard,9.45979,-8.658603,1.99,Hya
Hamal,2.119555,23.462423,2.01,Ari
Algieba,10.332873,19.841489,2.01,Leo
Diphda,0.72649,-17.986605,2.04,Cet
Nunki,18.92109,-26.296722,2.05,Sgr
Menkent,14.111395,-36.369954,2.06,Cen
Alpheratz,0.139791,29.090432,2.07,And
Mirach,1.162194,35.620558,2.07,And
Saiph,5.795941,-9.669605,2.07,Ori
Kochab,14.845105,74.155505,2.07,UMi
Tiaki,22.711115,-46.884577,2.07,Gru
Rasalhague,17.582241,12.560035,2.08,Oph
Algol,3.136148,40.955648,2.09,Per
Almach,2.064984,42.329725,2.1,And
Denebola,11.817663,14.57206,2.14,Leo
Cih,0.945143,60.71674,2.15,Cas
